,iterations,N,np,run time,suite
467,200,80,2,,pysparse
468,200,80,3,2.58738613129,trilinos
469,200,80,3,,pysparse
470,200,80,4,2.41510605812,trilinos
471,200,80,4,,pysparse
472,200,80,5,2.67398190498,trilinos
473,200,80,5,,pysparse
474,200,80,6,2.4791200161,trilinos
475,200,80,6,,pysparse
476,200,80,7,2.45331501961,trilinos
477,200,80,7,,pysparse
478,200,80,8,2.51737594604,trilinos
479,200,80,8,,pysparse
480,400,80,1,6.00402998924,trilinos
481,400,80,1,6.51789212227,pysparse
482,400,80,2,4.41525411606,trilinos
483,400,80,2,,pysparse
484,400,80,3,3.95748496056,trilinos
485,400,80,3,,pysparse
486,400,80,4,3.77170395851,trilinos
487,400,80,4,,pysparse
488,400,80,5,3.99198293686,trilinos
489,400,80,5,,pysparse
490,400,80,6,3.73118901253,trilinos
491,400,80,6,,pysparse
492,400,80,7,3.70692586899,trilinos
493,400,80,7,,pysparse
494,400,80,8,3.8892660141,trilinos
495,400,80,8,,pysparse
496,800,80,1,9.29299497604,trilinos
497,800,80,1,12.017236948,pysparse
498,800,80,2,7.07127904892,trilinos
499,800,80,2,,pysparse
500,800,80,3,6.54295396805,trilinos
501,800,80,3,,pysparse
502,800,80,4,6.32168197632,trilinos
503,800,80,4,,pysparse
504,800,80,5,6.70146489143,trilinos
505,800,80,5,,pysparse
506,800,80,6,6.35722613335,trilinos
507,800,80,6,,pysparse
508,800,80,7,6.44154405594,trilinos
509,800,80,7,,pysparse
510,800,80,8,6.78717184067,trilinos
511,800,80,8,,pysparse
